2026-06-22 12:24:51:2451 [HTTP]: GET /api/user/notifications | Status: 304 | Size: - B | Time: 23.073 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:24:51:2451 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 17.328 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:24:51:2451 [HTTP]: GET /api/chat/contacts | Status: 200 | Size: 530 B | Time: 114.714 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:24:51:2451 [HTTP]: GET /api/tasks | Status: 304 | Size: - B | Time: 11.725 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:24:51:2451 [HTTP]: GET /api/chat/contacts | Status: 304 | Size: - B | Time: 16.520 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:24:56:2456 [HTTP]: GET /api/admin/tasks | Status: 200 | Size: 2 B | Time: 21.156 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:24:56:2456 [HTTP]: GET /api/admin/users | Status: 200 | Size: 3418 B | Time: 29.808 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:24:56:2456 [HTTP]: GET /api/admin/tasks/all | Status: 200 | Size: 2 B | Time: 17.805 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:24:56:2456 [HTTP]: GET /api/admin/tasks | Status: 304 | Size: - B | Time: 11.377 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:24:56:2456 [HTTP]: GET /api/admin/tasks/all | Status: 304 | Size: - B | Time: 11.066 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:24:56:2456 [HTTP]: GET /api/admin/users | Status: 304 | Size: - B | Time: 16.584 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:24:56:2456 [HTTP]: GET /api/admin/designations/permissions | Status: 200 | Size: 889 B | Time: 18.995 ms | User: Admin User (admin@gmail.com)
2026-06-22 12:24:56:2456 [HTTP]: GET /api/admin/designations/permissions | Status: 200 | Size: 889 B | Time: 4.116 ms | User: Admin User (admin@gmail.com)
